PERMNO,REPDATS,STATPERS,qtr,year,FPEDATS,RETURNLead,sector,RETP1,RET2P1,SIZE,frev,LTG,SUELag,SGLag,TALag,CAPEXLag,BPLag,EPLag,anFor,anForLag,FE,FELag,actual,CONSENSUS,label,newSTATPERS
P11308,1/29/2002,12/20/2001,4,2001,12/31/2001,-0.072110318,30,0.045565166,-0.286035845,11.671856,-8.47E-04,12.6,1.07E+00,1.04E+00,-7.19E-02,-3.48E-02,0.454362563,0.044968607,2,0,0,0,0.37,0.37,1,3/29/2001
P11308,2/12/2003,1/16/2003,4,2002,12/31/2002,-0.001976236,30,-0.159377957,0.268415971,11.592916,-4.15E-04,11.5,7.04E-01,9.95E-01,-1.71E-03,1.93E-02,0.184403523,0.027085202,-1,-2,0,0,0.4,0.4,1,3/27/2002
P11308,2/11/2004,1/15/2004,4,2003,12/31/2003,0.014622205,30,0.072619156,0.08170235,11.727293,2.07E-03,10.65,-6.43E-01,3.62E+00,-4.47E-03,7.97E-03,0.301665899,0.040755467,1,1,0.010989011,0.022222222,0.46,0.45,-1,3/27/2003
P11404,1/26/1999,12/17/1998,4,1998,12/31/1998,-0.065011822,55,0.116866869,0.050484835,9.418252,7.88E-04,2.72,-8.20E-01,7.87E-01,-4.78E-03,NA,2.150694193,0.082096552,0,0,0.027522936,0.017064846,0.56,0.53,-1,4/8/1998
P11404,1/20/2000,12/16/1999,4,1999,12/31/1999,0.2081545,55,-0.331259685,-0.220880971,8.906052,-8.49E-06,3.45,-1.12E+00,1.25E+00,-2.91E-02,NA,3.557248557,0.11193133,1,2,-0.008695652,-0.008695652,0.57,0.58,1,4/7/1999
P11404,1/18/2001,12/14/2000,4,2000,12/31/2000,0.008355833,55,0.255657679,-0.134202586,9.007372,-3.04E-03,3.83,1.21E-01,9.79E-01,3.64E-02,NA,2.869509165,0.087061995,0,-1,0,-0.009345794,0.53,0.53,1,3/31/2000
P11404,1/17/2002,12/20/2001,4,2001,12/31/2001,0.015609541,55,-0.031535801,-0.005319694,9.055119,-4.84E-04,4.26,-3.36E-01,8.02E-01,-6.76E-03,NA,3.402783835,0.108841202,1,-1,0.026086957,-0.054545455,0.59,0.56,-1,3/30/2001
P11404,1/16/2003,12/19/2002,4,2002,12/31/2002,-0.067725398,55,-0.039876953,-0.04295553,9.122668,-1.60E-03,3.68,-5.51E-01,2.06E+00,-2.91E-02,NA,3.074565045,0.072004159,0,0,-0.008849558,0,0.56,0.57,1,3/29/2002
P11404,1/22/2004,12/18/2003,4,2003,12/31/2003,0.019065416,55,0.026198594,0.038186905,9.181259,-1.97E-03,3.18,NA,1.69E+00,-1.27E-02,NA,2.065657212,0.044671202,0,1,0.031746032,0.031746032,0.65,0.61,-1,3/28/2003
P11607,1/23/1997,12/19/1996,4,1996,12/31/1996,0,25,-0.034018771,-0.022287865,8.12006,4.07E-04,8.78,-2.55E-01,1.04E+00,-5.43E-02,6.56E-02,1.399116713,-0.018348624,0,-1,0,0.007874016,0.69,0.69,1,3/26/1996
P11607,1/22/1998,12/18/1997,4,1997,12/31/1997,0.055263158,25,0.109906324,-0.001986438,8.515642,2.83E-03,10.7,6.65E-02,1.58E+00,8.64E-03,3.51E-02,3.303855442,0.14551282,0,0,0.018867925,0.027027027,0.81,0.78,-1,4/1/1997
P11607,1/25/1999,12/17/1998,4,1998,12/31/1998,0.240131572,25,-0.308303631,-0.009334346,8.820698,-8.98E-03,11.33,-2.21E+00,1.20E+00,2.13E-02,1.12E-02,4.627627413,-0.030259366,-6,-1,0,0,0.89,0.89,1,3/31/1998
P11607,1/28/2000,12/16/1999,4,1999,12/31/1999,-0.215031311,25,-0.449660393,0.091463737,8.493788,-6.65E-03,11.62,9.93E-01,6.85E-01,-1.88E-01,-9.88E-02,1.764614958,0.024935065,0,-2,-0.02247191,-0.005714286,0.87,0.91,1,3/30/1999
