PERMNO,REPDATS,STATPERS,qtr,year,FPEDATS,RETURNLead,sector,RETP1,RET2P1,SIZE,frev,LTG,SUELag,SGLag,TALag,CAPEXLag,BPLag,EPLag,anFor,anForLag,FE,FELag,actual,CONSENSUS,label,newSTATPERS
P21207,3/28/2003,2/20/2003,4,2002,12/31/2002,-0.041712414,15,0.049499126,0.332250005,9.364847,-5.78E-03,21.67,2.04E-01,7.82E-01,-9.93E-02,7.08E-02,0.694482074,0.010823529,2,-1,0.027027027,0.027027027,0.19,0.18,-1,4/25/2002
P21207,2/4/2004,1/15/2004,4,2003,12/31/2003,0.042966899,15,0.025976872,0.086869175,9.974804,4.01E-03,20.63,-7.52E-02,2.16E-01,-3.58E-01,-7.18E-03,1.131814376,0.021795666,2,2,0.032258065,0.166666667,0.32,0.3,-1,4/17/2003
P21371,1/22/1997,12/19/1996,4,1996,12/31/1996,0.075375535,35,0.048137733,0.132291568,8.436659,7.93E-03,21.08,-2.64E-01,7.42E-01,-3.59E-01,-3.37E-02,16.79824252,0.059310345,0,0,0.004975124,0.004975124,0.2222,0.22,-1,4/2/1996
P21371,1/26/1998,12/18/1997,4,1997,12/31/1997,0.030782029,35,0.109505612,-0.208628586,8.737233,7.26E-03,21.91,1.27E+00,6.91E+00,5.40E-01,2.10E-02,0.471857698,0.031880378,0,0,0.002032896,0.002032896,0.2711,0.27,-1,4/2/1997
P21371,1/25/1999,12/17/1998,4,1998,12/31/1998,-0.02553542,35,0.061558036,0.026107658,9.24695,6.19E-03,21.19,-3.66E-01,2.44E+00,3.26E-01,1.36E-02,0.582037656,0.06308094,0,0,0.004975124,0.004975124,0.3333,0.33,-1,4/2/1998
P21371,1/25/2000,12/16/1999,4,1999,12/31/1999,-0.003916449,35,-0.406321268,-0.331510203,9.773597,6.99E-03,21.13,6.77E-01,1.10E+00,2.06E-01,1.86E-02,0.467517795,0.049700272,0,0,0.016353129,0.016353129,0.4133,0.4,-1,4/8/1999
P21371,1/30/2001,12/14/2000,4,2000,12/31/2000,-0.043412767,35,0.32763019,0.454742326,9.926276,7.66E-03,21.29,2.22E+00,1.16E+01,4.36E-01,1.89E-02,0.185651519,0.024190715,0,0,-0.200048002,-0.200048002,0.3333,0.5,1,4/5/2000
P21371,1/22/2002,12/20/2001,4,2001,12/31/2001,0.019331889,35,-0.193063753,-0.088420089,10.340461,7.54E-03,20.28,-9.93E-02,1.24E-01,-2.49E-01,-5.69E-03,2.172739899,0.056491228,1,0,-0.008,-0.008,0.62,0.63,1,4/6/2001
P21371,1/23/2003,12/19/2002,4,2002,12/31/2002,-0.014529428,35,-0.107944382,-0.134871152,10.22415,1.01E-02,19.67,-1.37E+00,6.82E-02,-4.16E-01,-4.57E-02,2.918840391,0.055913978,0,0,0,0,0.77,0.77,1,4/3/2002
P21371,1/22/2004,12/18/2003,4,2003,12/31/2003,0.048234154,35,-0.144454852,-0.012904708,10.269245,7.19E-03,16.79,1.86E+00,6.75E+00,2.18E-01,2.08E-02,0.640264679,0.040399715,-10,-2,0.005780347,0.005780347,0.87,0.86,-1,4/3/2003
P21573,1/14/1997,12/19/1996,4,1996,12/31/1996,0.009259259,15,0.039561152,-0.066796533,9.405984,-2.92E-03,8.5,NA,9.47E-01,-8.19E-02,2.23E-02,4.632924398,0.010958904,-7,-2,-0.057142857,-0.131578947,0.33,0.37,1,3/20/1996
P21573,1/13/1998,12/18/1997,4,1997,12/31/1997,0.059420291,15,-0.133515994,0.106660138,9.475139,-5.22E-04,8,7.94E-01,9.40E-01,-4.83E-02,1.80E-02,2.787274891,0.009595537,-7,0,-0.037974684,-0.095238095,0.38,0.41,1,3/19/1997
P21573,1/12/1999,12/17/1998,4,1998,12/31/1998,-0.117154814,15,0.058671086,-0.091420819,9.52968,-1.51E-02,7.45,5.51E-01,9.84E-01,1.04E-02,7.65E-03,2.070405939,-0.008085758,-3,-1,0.272727273,-0.090909091,0.21,0.12,-1,3/25/1998
P21573,1/11/2000,12/16/1999,4,1999,12/31/1999,-0.156146184,15,0.058930096,0.090992068,10.057549,5.38E-03,6.58,-3.69E-01,1.19E+00,1.83E-03,8.72E-03,1.77225709,0.035621891,0,7,-0.009009009,0.135802469,0.55,0.56,1,3/24/1999
P21573,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.052986179,15,0.555936789,-0.488881175,9.885895,-2.66E-02,4.88,3.98E-01,9.31E-01,4.77E-02,-2.20E-02,2.234682078,-0.023558758,-4,-2,-0.282051282,-0.184615385,0.28,0.5,1,3/22/2000
P21573,1/22/2002,12/20/2001,4,2001,12/31/2001,0.035439909,15,0.217082059,-0.048847972,9.874705,-8.19E-03,7,NA,2.50E+00,-2.33E-02,-1.52E-02,1.893384246,0.00943666,0,3,0.846153846,0.6,0.12,0.01,-1,3/29/2001
P21573,1/30/2003,12/19/2002,4,2002,12/31/2002,0.020875022,15,-0.105750163,0.194041609,9.7264,8.20E-04,7,NA,1.86E+00,-2.09E-02,-4.76E-02,1.422045423,0.016792611,0,1,0.1,0,0.33,0.27,-1,3/30/2002
P21573,2/2/2004,12/18/2003,4,2003,12/31/2003,0.052992616,15,-0.032378619,-0.038555506,9.940661,-7.58E-03,5.17,-2.81E-01,1.01E+00,-2.55E-02,-1.79E-02,0.704401529,0.02,1,1,0.121951219,0.121951219,0.23,0.18,-1,4/4/2003
P21776,1/30/2001,12/14/2000,4,2000,12/31/2000,-0.138156965,55,0.551127633,0.129822176,10.016698,2.56E-03,8.34,1.40E+00,5.56E+00,1.11E-02,NA,1.581625769,0.064496685,0,-10,0.026315789,NA,0.39,0.37,-1,1/10/2001
P21776,1/29/2002,12/20/2001,4,2001,12/31/2001,0.028404357,55,-0.410679135,-0.230742012,9.640161,-4.28E-03,7,5.67E-02,1.01E+00,-6.93E-03,NA,1.507742149,0.02448534,-1,-5,0.102040816,0.090909091,0.54,0.44,-1,4/4/2001
P21776,1/29/2003,12/19/2002,4,2002,12/31/2002,0.05217221,55,-0.096402447,-0.02386755,9.744564,1.70E-03,5.96,NA,2.91E-01,NA,NA,NA,NA,0,-3,0.016666667,0.016666667,0.61,0.59,-1,4/3/2002
P21776,1/28/2004,12/18/2003,4,2003,12/31/2003,0.009343019,55,0.017541887,0.0379951,9.988666,2.59E-03,5.21,-6.82E-01,4.35E+00,-2.45E-02,4.91E-03,1.616221138,-0.011281071,0,4,0.031390134,0.015576324,0.575,0.54,-1,4/8/2003
P21792,2/13/2003,1/16/2003,4,2002,12/31/2002,-0.332855046,55,-0.098505681,-0.702027989,7.860434,-8.92E-02,6.5,1.27E+00,9.76E-01,-1.85E-02,NA,3.626233537,0.229787234,0,2,-1,NA,-0.03,0,1,1/24/2003
P21792,2/12/2004,1/15/2004,4,2003,12/31/2003,0.005714289,55,0.277448258,0.365930287,7.99565,5.04E-02,3.2,-1.77E+00,1.44E+00,-4.01E-02,NA,2.176731548,0.093613299,1,-2,0.411764706,0.333333333,0.48,0.2,-1,4/5/2003
P21936,1/16/1997,12/19/1996,4,1996,12/31/1996,0.114457831,35,0.001182915,-0.032304685,10.888091,8.25E-04,15.33,-9.91E-01,1.26E+00,1.44E-02,7.41E-03,2.453780603,0.048278867,0,6,-0.006581494,0.012533232,0.1283,0.13,1,3/27/1996
P21936,1/20/1998,12/18/1997,4,1997,12/31/1997,0.096395642,35,0.114000768,0.216259833,11.477124,-5.57E-04,16.37,-4.52E-02,1.38E+00,1.99E-02,-3.46E-02,1.046570566,0.060722891,-1,-13,0.011648429,0.010880317,0.1433,0.14,-1,3/26/1997
P21936,1/19/1999,12/17/1998,4,1998,12/31/1998,0.028999999,35,0.012141199,0.190420924,11.993807,-9.69E-04,19.19,0.00E+00,7.80E-01,-2.82E-02,-3.35E-02,0.847967172,0.029784173,-2,-10,0.028571429,0,0.18,0.17,-1,3/25/1998
P21936,1/18/2000,12/16/1999,4,1999,12/31/1999,0.152136758,35,-0.32605408,-0.352075075,11.734364,7.57E-04,18.57,-3.42E-01,1.34E+00,-1.91E-02,3.50E-02,0.419357949,0.026304348,1,9,0.041666667,0.041666667,0.25,0.23,-1,3/26/1999
P21936,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.018478228,35,-0.047013184,0.342150443,12.579166,-8.50E-04,21.17,8.52E-01,1.32E+00,3.55E-02,-9.48E-03,0.501900241,0.032209361,-2,1,0,0.018867925,0.27,0.27,1,3/29/2000
P21936,1/23/2002,12/20/2001,4,2001,12/31/2001,0.045671262,35,-0.101186087,-0.231256561,12.42977,2.40E-04,20.02,1.01E+00,1.44E+00,9.05E-02,4.67E-02,0.194535725,0.049059233,3,-6,0,0.014925373,0.34,0.34,1,3/29/2001
P21936,1/22/2003,12/19/2002,4,2002,12/31/2002,-0.001962679,35,-0.179239063,-0.169816763,12.146176,0.00E+00,16.6,5.56E-01,1.30E+00,-3.90E-04,-2.15E-02,0.55584584,0.025833333,0,0,0.010526316,0,0.48,0.47,-1,3/28/2002
P21936,1/22/2004,12/18/2003,4,2003,12/31/2003,0.036795899,35,-0.062461165,0.02329193,12.504445,0.00E+00,13.52,NA,2.36E+00,NA,2.23E-02,NA,NA,-1,1,0.009523809,0.019230769,0.53,0.52,-1,4/2/2003
P21979,1/23/2003,12/19/2002,4,2002,12/31/2002,0.038924653,20,0.046109672,0.226198569,8.114562,NA,10.63,NA,5.40E-01,NA,3.83E-02,NA,NA,0,0,0,0,0.62,0.62,1,7/3/2002
P21979,1/22/2004,12/18/2003,4,2003,12/31/2003,-0.039699204,20,0.246390966,0.04243256,8.600379,0.00E+00,10.21,9.28E-02,1.15E+00,8.60E-03,NA,4.003381913,0.089940828,0,-1,0.012987013,0.012987013,0.78,0.76,-1,4/4/2003
P22103,2/4/1997,12/19/1996,4,1996,12/31/1996,0.069359608,20,-0.062690659,0.012784199,9.911593,5.75E-03,11,-4.52E-01,8.28E-01,4.14E-02,-1.83E-02,0.834944751,0.065708061,-1,0,0,0,0.57,0.57,1,4/5/1996
P22103,2/3/1998,12/18/1997,4,1997,12/31/1997,0.059628099,20,0.004897062,0.013027141,10.142557,5.13E-03,11.41,-2.68E+00,8.86E-01,-1.04E-01,1.61E-02,1.48459959,0.062335456,0,-3,0,-0.007633588,0.64,0.64,1,4/11/1997
P22103,2/2/1999,12/17/1998,4,1998,12/31/1998,0.218417943,20,-0.164808389,-0.138968893,10.213889,3.99E-03,11.74,-9.18E-01,9.81E-01,-3.20E-02,3.09E-02,1.472095109,0.069922879,1,-2,-0.007194245,-0.007194245,0.69,0.7,1,4/16/1998
P22103,2/1/2000,12/16/1999,4,1999,12/31/1999,0.081685647,20,-0.154855787,0.017130327,10.216946,5.06E-03,11.46,1.30E+00,1.19E+00,6.99E-02,2.14E-02,0.934286092,0.042541176,0,0,0,0,0.75,0.75,1,4/9/1999
P22103,1/30/2001,12/14/2000,4,2000,12/31/2000,0.021642873,20,0.342651406,0.092592384,10.262593,6.02E-03,12.41,1.05E+00,1.22E+00,3.57E-03,6.72E-03,1.016164763,0.044955567,-1,-2,0,0,0.83,0.83,1,4/12/2000
P22103,2/5/2002,12/20/2001,4,2001,12/31/2001,0.090794139,20,0.014934022,-0.246752018,9.890787,-1.32E-02,10.27,-1.13E+00,9.84E-01,-8.63E-02,-2.75E-02,1.660603416,0.06715493,0,0,0.033898305,0.033898305,0.61,0.57,-1,4/11/2001
P22103,2/4/2003,12/19/2002,4,2002,12/31/2002,0.011346674,20,-0.043605534,-0.004489161,9.824769,-5.38E-04,10.54,NA,3.39E-01,NA,-1.91E-02,NA,NA,-2,-12,-0.028037383,-0.024793388,0.52,0.55,1,4/12/2002
P22103,2/3/2004,12/18/2003,4,2003,12/31/2003,-0.001992701,20,0.102455247,0.052996055,10.006665,3.66E-03,9.83,2.04E+00,1.39E+00,8.69E-02,1.64E-02,0.685879816,0.053995859,-1,-3,0.035714286,0.026548673,0.58,0.54,-1,4/16/2003
P22111,1/21/1997,12/19/1996,4,1996,12/31/1996,0.160804018,35,-0.112478644,0.029615044,11.101811,4.03E-04,14.29,1.27E+00,1.32E+00,3.90E-02,6.33E-02,0.427141011,0.036930731,0,0,0,0,0.21,0.21,1,3/27/1996
P22111,1/20/1998,12/18/1997,4,1997,12/31/1997,0.016129032,35,-0.081405044,0.112035868,11.39201,0.00E+00,13.98,-1.21E+00,6.19E-01,-7.01E-02,-2.61E-03,2.911082687,0.078328982,-2,0,-0.022799915,0,0.2293,0.24,1,3/26/1997
P22111,1/26/1999,12/17/1998,4,1998,12/31/1998,0.01490313,35,0.037132815,-0.040389507,11.632771,-2.64E-04,13.16,-1.95E+00,6.29E+00,-6.41E-02,5.27E-02,1.343102187,0.030218341,-4,-2,0,0,0.25,0.25,1,3/25/1998
P22111,1/25/2000,12/16/1999,4,1999,12/31/1999,-0.077077746,35,-0.182169989,0.003408762,11.772115,0.00E+00,12.87,-3.99E-01,1.04E+00,-3.68E-02,2.63E-02,1.895054238,0.064253968,0,1,-0.01754386,0.012658228,0.28,0.29,1,3/31/1999
P22111,1/23/2001,12/14/2000,4,2000,12/31/2000,-0.11357528,35,0.07255503,0.09176808,11.892288,4.27E-04,12.85,NA,1.20E+00,-1.01E-01,2.52E-02,1.502198142,0.062772277,0,0,0.007751938,0.005649718,0.325,0.32,-1,3/29/2000
P22111,1/22/2002,12/20/2001,4,2001,12/31/2001,-0.026903557,35,0.121888573,-0.07714283,12.101214,-4.16E-04,12.89,NA,8.20E-01,NA,5.12E-03,NA,NA,0,0,0,0.020408163,0.39,0.39,1,3/28/2001
P22111,1/21/2003,12/19/2002,4,2002,12/31/2002,-0.001861822,35,-0.025170851,-0.154956904,11.979342,3.74E-04,15.18,3.00E-01,9.46E-01,-1.45E-02,-3.76E-02,0.584572942,0.030260047,1,0,-0.010752688,-0.010752688,0.46,0.47,1,3/27/2002
P22111,1/20/2004,12/18/2003,4,2003,12/31/2003,0.034068879,35,-0.109236648,-0.134455727,11.940318,3.81E-04,13.29,6.57E-01,1.52E+00,3.23E-02,-3.08E-02,0.409384588,0.04004908,0,0,0.008849558,0.008849558,0.57,0.56,-1,3/26/2003
P22293,1/27/1997,12/19/1996,4,1996,12/31/1996,-0.081749961,45,0.134741015,0.127707585,9.266473,-8.29E-03,16.14,1.02E+00,7.23E-01,4.70E-02,2.89E-02,0.966109641,0.032307692,0,-1,0.012533232,-0.096774194,0.1333,0.13,-1,3/26/1996
P22293,1/28/1998,12/18/1997,4,1997,12/31/1997,-0.096045196,45,-0.422292864,0.318234812,9.059302,4.27E-04,19.29,-3.18E-01,9.14E-01,-2.49E-03,-1.03E-01,0.773884667,0.021242938,-1,1,-0.021385254,-0.021385254,0.1533,0.16,1,3/26/1997
P22293,1/25/1999,12/17/1998,4,1998,12/31/1998,0.083333336,45,0.306479169,-0.079210497,9.251242,-4.58E-03,17.27,-3.03E-02,5.31E-01,-2.74E-02,-7.10E-02,0.408790983,0.023833333,-1,-1,0.052506909,0.060354174,0.1333,0.12,-1,3/27/1998
P22293,1/24/2000,12/16/1999,4,1999,12/31/1999,0.018041236,45,0.578341799,0.382955954,10.420778,8.39E-04,20.17,1.62E+00,1.34E+00,-9.35E-02,-8.23E-02,4.17625294,0.05623431,1,0,0.03030303,0.03030303,0.17,0.16,-1,3/25/1999
P22293,1/24/2001,12/14/2000,4,2000,12/31/2000,0.073798798,45,-0.300610829,0.797985981,10.795568,2.44E-03,27.42,3.80E-02,1.22E+00,3.84E-02,-7.41E-02,1.823654451,0.02781893,1,2,0.096774193,0.096774193,0.34,0.28,-1,4/5/2000
P22293,1/23/2002,12/20/2001,4,2001,12/31/2001,-0.122047223,45,-0.568217008,-0.896236821,9.013756,-4.10E-02,19.06,-4.14E-01,7.01E-01,2.56E-02,1.56E-02,4.490919603,-0.461971831,0,-13,-0.12,-0.806451613,-0.28,-0.22,1,4/6/2001
P22293,1/23/2003,12/19/2002,4,2002,12/31/2002,0.23262839,45,1.028215574,-0.482326617,8.284522,-9.10E-03,15.36,1.36E+00,9.51E-01,2.08E-02,-4.52E-02,2.269013897,0.00947226,0,0,-0.052631579,-0.052631579,-0.1,-0.09,1,4/2/2002
P22293,1/22/2004,12/18/2003,4,2003,12/31/2003,0.238734394,45,-0.154909946,0.464832221,9.547347,7.62E-03,17.78,-7.72E-02,2.33E+00,-6.51E-02,-1.46E-03,0.820174409,-0.084226646,0,0,0,0,0.04,0.04,1,4/2/2003
P22509,1/16/1997,12/19/1996,4,1996,12/31/1996,0.006944445,15,0.055343261,-0.029434485,9.238242,1.99E-03,10.17,8.11E-03,9.67E-01,-1.50E-02,NA,1.037490366,0.019259259,-4,0,-0.051428571,-0.077777778,0.83,0.92,1,3/29/1996
P22509,1/15/1998,12/18/1997,4,1997,12/31/1997,0.040478382,15,-0.142575234,-0.149959196,9.227334,-3.45E-03,10.1,4.48E-01,1.05E+00,-7.45E-03,-1.45E-02,0.937211243,0.066679424,2,-4,0.015544041,0.026178011,0.98,0.95,-1,3/28/1997
P22509,1/21/1999,12/17/1998,4,1998,12/31/1998,-0.076262087,15,-0.203805505,0.090087534,9.229165,-4.66E-03,10.32,-2.64E-01,8.99E-01,-4.29E-02,NA,1.329853595,0.063804878,-2,-2,0.005291005,-0.025641026,0.95,0.94,-1,3/27/1998
P22509,1/20/2000,12/16/1999,4,1999,12/31/1999,0.039426524,15,-0.012542197,-0.019060122,9.295796,-6.32E-04,9.33,1.13E+00,1.10E+00,-2.12E-02,NA,1.382975873,0.068817204,1,-2,0.010869565,0.010869565,0.93,0.91,-1,3/26/1999
P22509,1/18/2001,12/14/2000,4,2000,12/31/2000,0.153178588,15,0.220466389,-0.259742417,8.960702,-1.21E-02,8.41,-1.66E+00,9.45E-01,3.22E-02,-1.01E-02,1.576258418,0.035365589,-9,-3,-0.006622517,-0.090909091,0.75,0.76,1,3/31/2000
P22509,1/17/2002,12/20/2001,4,2001,12/31/2001,-0.047350183,15,0.087421772,0.239117243,9.074044,-1.43E-02,7.32,-2.00E+00,8.82E-01,1.19E-02,-1.18E-02,1.100196522,0.039519213,-1,-1,0.053763441,0.042553191,0.49,0.44,-1,3/30/2001
P22509,1/16/2003,12/19/2002,4,2002,12/31/2002,0.076086879,15,-0.085769331,0.311197288,9.048373,4.18E-04,8.49,-3.11E+00,1.20E+00,4.67E-03,-5.87E-03,1.390802664,0.060115351,-10,-8,0,-0.149253731,0.57,0.57,1,3/29/2002
P22509,1/15/2004,12/18/2003,4,2003,12/31/2003,-0.090440445,15,0.125909103,-0.083588978,9.300432,1.85E-03,7.67,NA,4.97E+00,-2.25E-02,-4.44E-02,1.285529668,0.068267581,0,-2,0.020134228,0.027027027,0.76,0.73,-1,3/28/2003
P22517,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.071645901,55,0.812856391,-0.022086349,8.787837,1.13E-02,7.25,1.58E+00,1.79E+00,-5.00E-03,NA,2.077330075,0.080981595,0,0,0.152317881,0.163636364,0.435,0.32,-1,4/6/2000
P22517,1/29/2002,12/20/2001,4,2001,12/31/2001,-0.037869226,55,-0.485978708,0.145865804,8.538624,1.87E-03,9.44,7.25E-01,1.12E+00,-1.51E-02,NA,2.819519853,0.088205128,-3,-1,0.029585799,0.029585799,0.435,0.41,-1,4/4/2001
P22517,1/22/2003,12/19/2002,4,2002,12/31/2002,0.009227212,55,0.036325319,-0.039451331,8.656559,1.74E-04,6.55,1.22E-01,5.86E-01,1.82E-01,2.16E-03,2.35137742,0.04173913,0,0,0.078947368,0.027027027,0.41,0.35,-1,4/4/2002
P22517,1/28/2004,12/18/2003,4,2003,12/31/2003,0.045028601,55,-0.107832059,0.104542811,8.956684,-4.96E-04,4.57,-4.63E-01,3.22E-01,-4.51E-01,-2.98E-02,2.916965225,0.099845428,0,1,0.065217391,0.065217391,0.49,0.43,-1,4/9/2003
P22592,1/21/2003,12/19/2002,4,2002,12/31/2002,-0.030685211,20,0.034940829,0.076090937,10.78127,2.12E-03,11.35,NA,5.66E-01,NA,-1.46E-02,NA,0.025207142,0,0,0.003891051,0.003891051,0.645,0.64,-1,4/2/2002
P22592,1/20/2004,12/18/2003,4,2003,12/31/2003,0.056308787,20,0.157369907,-0.073882978,11.107562,1.60E-03,11.73,1.36E+00,2.31E+01,1.38E-01,6.21E-02,0.385491323,0.040818813,1,2,0.013157895,0.006535948,0.77,0.75,-1,4/1/2003
P22752,1/28/1997,12/19/1996,4,1996,12/31/1996,0.138147563,35,0.107552817,-0.120512022,11.472892,8.89E-04,13.27,-7.12E-01,1.37E+00,3.85E-02,1.71E-02,0.172800496,0.029380764,12,5,0.01754386,0.01754386,0.435,0.42,-1,3/28/1996
P22752,1/27/1998,12/18/1997,4,1997,12/31/1997,0.107311323,35,-0.03960654,0.109515125,11.748209,2.03E-04,14.3,1.35E-01,2.18E+00,-1.62E-01,1.31E-03,0.932784062,0.067800586,-2,3,0.009708738,0,0.52,0.51,-1,3/27/1997
P22752,1/26/1999,12/17/1998,4,1998,12/31/1998,-0.121684864,35,0.022147802,0.071753233,12.067289,-2.93E-04,13.11,NA,8.37E-01,NA,-4.08E-03,0.54536079,0.067319885,2,-1,0,0,0.58,0.58,1,3/27/1998
P22752,1/26/2000,12/16/1999,4,1999,12/31/1999,0.173023254,35,-0.236626879,-0.165647122,11.960715,-1.46E-04,12.41,NA,1.95E+00,-1.36E-02,1.10E-02,0.339104169,0.057968621,-1,0,0,0,0.66,0.66,1,4/3/1999
P22752,1/23/2001,12/14/2000,4,2000,12/31/2000,-0.122242987,35,0.257916097,0.138215753,12.28326,1.50E-03,12.04,1.67E-01,1.13E+00,-1.84E-02,9.64E-03,0.809953965,0.043928571,3,0,0,0,0.75,0.75,1,4/4/2000
P22752,1/22/2002,12/20/2001,4,2001,12/31/2001,0.006462603,35,-0.156950857,-0.450709587,11.802878,-9.75E-04,11.25,1.58E-01,1.36E+00,-2.94E-02,-4.57E-02,0.568112447,0.071164659,-3,-3,0.00621118,0.005988024,0.81,0.8,-1,3/31/2001
P22752,1/28/2003,12/19/2002,4,2002,12/31/2002,-0.021550983,35,0.111979947,-0.155930683,11.752639,2.12E-04,8.61,-1.04E-01,6.29E-01,-3.92E-02,-1.85E-02,1.506420294,0.054671815,1,-3,0,0.006060606,0.83,0.83,1,3/29/2002
P22752,1/27/2004,12/18/2003,4,2003,12/31/2003,0.030302981,35,-0.252103519,0.015820676,11.539037,-9.70E-03,6.5,1.20E+00,1.74E+00,2.69E-03,1.98E-02,0.347891535,0.069217687,-18,-11,0,-0.034883721,0.62,0.62,1,4/1/2003
P22779,1/9/1997,12/19/1996,4,1996,12/31/1996,0.114285715,45,-0.166475979,-0.069701748,10.500833,-1.81E-02,16.76,2.56E-01,9.12E-01,-2.07E-02,-1.02E-01,1.387963482,-0.011239669,-1,-9,-0.037037037,-0.227412206,0.13,0.14,1,3/20/1996
P22779,1/12/1998,12/18/1997,4,1997,12/31/1997,0.041530054,45,-0.468923754,0.000288468,10.438914,-3.53E-03,19.69,-1.71E+00,8.15E-01,2.08E-02,-3.02E-02,1.617760388,-0.027015458,-2,4,-0.029773897,-0.1,0.2167,0.23,1,3/18/1997
P22779,1/13/1999,12/17/1998,4,1998,12/31/1998,0.183213919,45,0.11138618,-0.243510859,10.510659,-8.16E-03,16.58,-2.12E-02,9.48E-01,-9.09E-02,-3.59E-02,1.437175541,0.022116041,-1,-15,0.040191962,-0.125703565,0.0867,0.08,-1,3/17/1998
P22779,1/17/2000,12/16/1999,4,1999,12/31/1999,-0.073005095,45,0.41843422,0.394720305,11.41017,3.16E-04,17.58,6.90E-01,1.64E+00,-3.09E-02,-3.25E-03,0.737991182,0.00369863,0,4,0.006073992,-0.009251472,0.2733,0.27,-1,3/24/1999
P22779,1/10/2001,12/14/2000,4,2000,12/31/2000,0.126419723,45,-0.092497198,-0.378137536,10.700359,-7.74E-03,21.73,-8.33E-01,5.13E+01,-6.77E-03,2.43E-02,1.841697806,-0.151472651,-21,0,0,-0.285714286,0.15,0.15,1,3/21/2000
P22779,1/22/2002,12/20/2001,4,2001,12/31/2001,-0.113848202,45,0.074655294,0.058513088,10.429844,-1.53E-02,16.57,-2.69E+00,6.93E+00,-2.19E-02,9.45E-03,0.329161225,0.034955449,-4,0,0.111111111,0.111111111,-0.04,-0.05,-1,3/21/2001
P22779,1/21/2003,12/19/2002,4,2002,12/31/2002,-0.077456601,45,-0.228030338,0.236228922,9.904854,3.95E-03,15.48,-1.04E+00,1.06E+00,4.95E-03,-2.83E-03,2.561558832,0.093220339,0,0,0.130434783,0.130434783,0.13,0.1,-1,3/27/2002
P22779,1/20/2004,12/18/2003,4,2003,12/31/2003,0.184285715,45,0.217329751,-0.06464092,10.396408,3.12E-04,10.61,NA,5.00E+00,NA,-1.81E-02,0.959286581,0.025568182,0,15,0.133333333,0.133333333,0.17,0.13,-1,3/26/2003
P22840,1/23/1997,12/19/1996,4,1996,12/31/1996,0.060402684,30,0.054475989,-0.074484586,9.665502,6.52E-03,11.74,1.38E-01,2.02E+00,2.31E-02,-5.69E-03,0.853643872,-0.029261745,1,1,0,-0.024390244,0.31,0.31,1,4/5/1996
P22840,1/22/1998,12/18/1997,4,1997,12/31/1997,-0.031076582,30,0.263921752,-0.015233752,9.903064,5.36E-03,12.71,-2.47E+00,2.10E+01,6.72E-02,3.41E-02,0.243682256,-0.020066771,0,0,-0.007194245,-0.007194245,0.345,0.35,1,4/4/1997
P22840,1/21/1999,12/17/1998,4,1998,12/31/1998,-0.095343679,30,-0.03125052,-0.137333085,10.156906,5.00E-03,13.25,1.86E-01,1.37E+00,1.88E-02,1.07E-02,1.438101967,0.037471264,0,0,0,0,0.39,0.39,1,4/3/1998
P22840,1/26/2000,12/16/1999,4,1999,12/31/1999,-0.164305955,30,-0.116150817,-0.304574054,9.906026,6.55E-03,11.91,-1.66E+00,1.12E+00,5.79E-02,-4.29E-02,0.462853517,0.026990291,1,-2,0,0,0.42,0.42,1,4/2/1999
P22840,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.135267183,30,0.308179691,-0.037847308,9.701663,3.52E-03,10.29,8.84E-01,1.12E+00,-2.10E-02,1.82E-02,0.888858018,0.050485437,0,0,-0.011494253,0,0.43,0.44,1,4/6/2000
P22840,1/24/2002,12/20/2001,4,2001,12/31/2001,-0.048582993,30,0.151442059,-0.257968708,9.603085,2.71E-03,8.8,-9.78E-02,9.25E-01,-3.21E-02,-3.75E-03,1.344288689,0.078019802,0,-1,-0.026315789,-0.026315789,0.37,0.39,1,4/5/2001
P22840,1/23/2003,12/19/2002,4,2002,12/31/2002,-0.114171468,30,0.097746954,-0.089706216,9.692559,1.26E-02,7.98,-2.05E+00,8.58E-01,-4.33E-02,3.85E-02,0.965375331,0.042848297,2,0,0,0.138461539,0.42,0.42,1,4/4/2002
P22840,1/22/2004,12/18/2003,4,2003,12/31/2003,0.055809666,30,0.128314348,-0.180338682,9.590275,3.49E-03,7.24,-4.53E-01,2.46E+00,1.41E-02,-7.34E-03,0.669398731,0.08714597,0,-6,0,0,0.39,0.39,1,4/4/2003
P22947,1/30/1997,12/19/1996,4,1996,12/31/1996,0.033707865,55,-0.014881591,-0.013574449,8.568368,6.59E-04,4.71,-1.70E+00,8.97E-01,-4.29E-03,NA,1.763558804,0.058627397,1,1,0.033898305,0.016666667,0.61,0.57,-1,4/6/1996
P22947,1/29/1998,12/18/1997,4,1997,12/31/1997,-0.099510603,55,0.043943641,-0.048660499,8.706743,-4.74E-03,4.65,NA,2.55E+00,-1.63E-02,NA,2.07547684,0.061052632,0,-1,0,0.02189781,0.7,0.7,1,4/4/1997
